,rf_acc_unoptimized,rf_f1_unoptimized,rf_acc_optimized,rf_f1_optimized,particle
0,0.74 ± 0.03,0.71 ± 0.03,0.76 ± 0.02,0.73 ± 0.03,Cube
0,0.77 ± 0.03,0.76 ± 0.03,0.78 ± 0.01,0.77 ± 0.01,Stick
0,0.84 ± 0.01,0.70 ± 0.04,0.82 ± 0.06,0.67 ± 0.08,Sphere
0,0.77 ± 0.16,0.45 ± 0.07,0.82 ± 0.11,0.52 ± 0.09,Flat
0,0.81 ± 0.04,0.61 ± 0.10,0.80 ± 0.02,0.62 ± 0.04,Amorphous
0,0.85 ± 0.02,0.60 ± 0.04,0.82 ± 0.04,0.57 ± 0.08,Cube_s
0,0.69 ± 0.04,0.51 ± 0.08,0.64 ± 0.03,0.52 ± 0.06,Cube_m
0,0.70 ± 0.04,0.65 ± 0.05,0.70 ± 0.03,0.64 ± 0.03,Cube_l
0,0.75 ± 0.37,0.49 ± 0.26,0.68 ± 0.34,0.37 ± 0.18,Sphere_s
0,0.88 ± 0.02,0.57 ± 0.06,0.84 ± 0.07,0.55 ± 0.10,Sphere_m
0,0.64 ± 0.16,0.38 ± 0.07,0.61 ± 0.28,0.40 ± 0.18,Sphere_l
0,0.83 ± 0.04,0.57 ± 0.08,0.82 ± 0.03,0.54 ± 0.04,Stick_s
0,0.82 ± 0.06,0.52 ± 0.10,0.81 ± 0.07,0.59 ± 0.09,Stick_m
0,0.80 ± 0.04,0.65 ± 0.04,0.79 ± 0.04,0.63 ± 0.05,Stick_l
0,0.76 ± 0.12,0.43 ± 0.04,0.74 ± 0.19,0.52 ± 0.25,Flat_s
0,0.79 ± 0.14,0.44 ± 0.05,0.73 ± 0.22,0.41 ± 0.09,Flat_m
0,0.48 ± 0.39,0.26 ± 0.22,0.37 ± 0.31,0.22 ± 0.19,Flat_l
0,0.90 ± 0.11,0.63 ± 0.12,0.90 ± 0.10,0.55 ± 0.12,Amorphous_s
0,0.88 ± 0.02,0.55 ± 0.07,0.89 ± 0.04,0.59 ± 0.08,Amorphous_m
0,0.84 ± 0.14,0.56 ± 0.13,0.82 ± 0.12,0.52 ± 0.10,Amorphous_l
