,rf_acc_unoptimized,rf_f1_unoptimized,rf_acc_optimized,rf_f1_optimized,particle
0,0.71 ± 0.03,0.68 ± 0.04,0.74 ± 0.02,0.72 ± 0.04,Cube
0,0.71 ± 0.05,0.70 ± 0.07,0.79 ± 0.05,0.78 ± 0.05,Stick
0,0.81 ± 0.04,0.70 ± 0.08,0.78 ± 0.05,0.65 ± 0.05,Sphere
0,0.77 ± 0.18,0.50 ± 0.15,0.64 ± 0.27,0.44 ± 0.20,Flat
0,0.83 ± 0.03,0.65 ± 0.08,0.79 ± 0.02,0.57 ± 0.04,Amorphous
0,0.82 ± 0.08,0.58 ± 0.13,0.81 ± 0.13,0.61 ± 0.18,Cube_s
0,0.68 ± 0.04,0.49 ± 0.04,0.67 ± 0.04,0.51 ± 0.04,Cube_m
0,0.67 ± 0.07,0.59 ± 0.13,0.67 ± 0.03,0.62 ± 0.04,Cube_l
0,0.56 ± 0.46,0.44 ± 0.40,0.52 ± 0.43,0.31 ± 0.26,Sphere_s
0,0.84 ± 0.02,0.58 ± 0.07,0.82 ± 0.05,0.56 ± 0.07,Sphere_m
0,0.66 ± 0.16,0.39 ± 0.06,0.72 ± 0.13,0.41 ± 0.05,Sphere_l
0,0.77 ± 0.08,0.45 ± 0.04,0.74 ± 0.16,0.50 ± 0.11,Stick_s
0,0.84 ± 0.05,0.60 ± 0.10,0.77 ± 0.11,0.55 ± 0.12,Stick_m
0,0.80 ± 0.05,0.60 ± 0.09,0.82 ± 0.06,0.66 ± 0.06,Stick_l
0,0.67 ± 0.18,0.50 ± 0.25,0.47 ± 0.27,0.30 ± 0.12,Flat_s
0,0.36 ± 0.44,0.22 ± 0.28,0.38 ± 0.47,0.33 ± 0.42,Flat_m
0,0.32 ± 0.39,0.18 ± 0.22,0.14 ± 0.22,0.09 ± 0.14,Flat_l
0,0.95 ± 0.06,0.74 ± 0.24,0.95 ± 0.06,0.74 ± 0.24,Amorphous_s
0,0.78 ± 0.19,0.46 ± 0.11,0.90 ± 0.06,0.64 ± 0.20,Amorphous_m
0,0.89 ± 0.03,0.61 ± 0.08,0.87 ± 0.03,0.56 ± 0.08,Amorphous_l
