,xgb_acc_unoptimized,xgb_f1_unoptimized,xgb_acc_optimized,xgb_f1_optimized,particle
0,0.71 ± 0.03,0.68 ± 0.04,0.75 ± 0.05,0.72 ± 0.06,Cube
0,0.75 ± 0.01,0.74 ± 0.02,0.77 ± 0.02,0.76 ± 0.02,Stick
0,0.84 ± 0.03,0.71 ± 0.05,0.81 ± 0.06,0.61 ± 0.08,Sphere
0,0.70 ± 0.12,0.42 ± 0.07,0.68 ± 0.12,0.40 ± 0.05,Flat
0,0.77 ± 0.06,0.58 ± 0.09,0.78 ± 0.04,0.58 ± 0.08,Amorphous
0,0.81 ± 0.08,0.57 ± 0.09,0.80 ± 0.07,0.56 ± 0.09,Cube_s
0,0.65 ± 0.04,0.52 ± 0.06,0.63 ± 0.03,0.50 ± 0.03,Cube_m
0,0.68 ± 0.01,0.61 ± 0.02,0.65 ± 0.03,0.58 ± 0.06,Cube_l
0,0.72 ± 0.36,0.38 ± 0.19,0.72 ± 0.36,0.45 ± 0.25,Sphere_s
0,0.83 ± 0.06,0.48 ± 0.06,0.86 ± 0.06,0.57 ± 0.08,Sphere_m
0,0.83 ± 0.05,0.45 ± 0.01,0.79 ± 0.11,0.46 ± 0.06,Sphere_l
0,0.80 ± 0.06,0.52 ± 0.11,0.83 ± 0.03,0.56 ± 0.03,Stick_s
0,0.84 ± 0.03,0.63 ± 0.05,0.83 ± 0.04,0.57 ± 0.07,Stick_m
0,0.81 ± 0.03,0.66 ± 0.05,0.81 ± 0.03,0.67 ± 0.03,Stick_l
0,0.49 ± 0.27,0.30 ± 0.13,0.45 ± 0.24,0.29 ± 0.12,Flat_s
0,0.66 ± 0.31,0.37 ± 0.16,0.64 ± 0.29,0.37 ± 0.12,Flat_m
0,0.24 ± 0.33,0.15 ± 0.18,0.24 ± 0.21,0.17 ± 0.15,Flat_l
0,0.82 ± 0.15,0.53 ± 0.14,0.81 ± 0.21,0.52 ± 0.16,Amorphous_s
0,0.88 ± 0.05,0.57 ± 0.12,0.90 ± 0.04,0.61 ± 0.11,Amorphous_m
0,0.79 ± 0.16,0.48 ± 0.11,0.76 ± 0.12,0.45 ± 0.06,Amorphous_l
