,xgb_acc_unoptimized,xgb_f1_unoptimized,xgb_acc_optimized,xgb_f1_optimized,particle
0,0.75 ± 0.04,0.73 ± 0.02,0.79 ± 0.05,0.77 ± 0.03,Cube
0,0.79 ± 0.06,0.78 ± 0.07,0.78 ± 0.05,0.76 ± 0.06,Stick
0,0.81 ± 0.07,0.73 ± 0.08,0.84 ± 0.06,0.77 ± 0.07,Sphere
0,0.59 ± 0.33,0.38 ± 0.24,0.59 ± 0.32,0.41 ± 0.25,Flat
0,0.78 ± 0.10,0.55 ± 0.13,0.80 ± 0.08,0.54 ± 0.10,Amorphous
0,0.79 ± 0.08,0.56 ± 0.12,0.79 ± 0.08,0.56 ± 0.12,Cube_s
0,0.64 ± 0.03,0.45 ± 0.06,0.59 ± 0.04,0.41 ± 0.06,Cube_m
0,0.72 ± 0.03,0.68 ± 0.03,0.65 ± 0.05,0.59 ± 0.05,Cube_l
0,0.55 ± 0.45,0.44 ± 0.40,0.54 ± 0.44,0.37 ± 0.31,Sphere_s
0,0.84 ± 0.05,0.62 ± 0.06,0.84 ± 0.05,0.62 ± 0.06,Sphere_m
0,0.65 ± 0.22,0.43 ± 0.17,0.71 ± 0.17,0.46 ± 0.14,Sphere_l
0,0.76 ± 0.07,0.48 ± 0.08,0.76 ± 0.09,0.50 ± 0.12,Stick_s
0,0.81 ± 0.04,0.59 ± 0.07,0.83 ± 0.05,0.59 ± 0.14,Stick_m
0,0.76 ± 0.10,0.55 ± 0.11,0.79 ± 0.07,0.56 ± 0.10,Stick_l
0,0.42 ± 0.36,0.25 ± 0.20,0.42 ± 0.29,0.27 ± 0.15,Flat_s
0,0.21 ± 0.29,0.13 ± 0.17,0.23 ± 0.34,0.14 ± 0.19,Flat_m
0,0.22 ± 0.39,0.22 ± 0.39,0.17 ± 0.27,0.11 ± 0.16,Flat_l
0,0.51 ± 0.44,0.37 ± 0.37,0.51 ± 0.44,0.37 ± 0.37,Amorphous_s
0,0.61 ± 0.34,0.38 ± 0.21,0.62 ± 0.36,0.37 ± 0.22,Amorphous_m
0,0.76 ± 0.26,0.55 ± 0.20,0.69 ± 0.31,0.38 ± 0.15,Amorphous_l
